"user_id","game_name","payment_date","revenue_amount_usd","user_id","game_name","language","has_older_device_model","age"
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-08-18,15.87,fDgyPW0yy0+9ietMvl0vmA==,game 3,ru,false,18
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-09,19.11,MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,uk,false,14
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,2022-05-04,35.82,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,ru,false,17
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-10-25,18.57,nklUUkirU5GYU5ZtNOgx8w==,game 3,ru,true,20
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-08-14,18.9,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,ru,false,34
f9cWBjiN4c8lXAkBhdqK6Q==,game 3,2022-10-25,37.68,f9cWBjiN4c8lXAkBhdqK6Q==,game 3,uk,false,21
"7L4SKPGMd33lnSOq6PWyYg==",game 3,2022-12-04,16.29,"7L4SKPGMd33lnSOq6PWyYg==",game 3,uk,false,30
ngOdQ8biXsraLxTHS862fw==,game 3,2022-07-02,13.92,ngOdQ8biXsraLxTHS862fw==,game 3,ru,false,25
lHTzlMgVj6HJZc31yCCDng==,game 3,2022-11-11,14.73,lHTzlMgVj6HJZc31yCCDng==,game 3,uk,false,19
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-11-28,18.96,FbbhrtuL39vfmatF2ObVfA==,game 3,uk,false,16
GetHmCsisRTAnwhuBEMa9Q==,game 3,2022-12-03,19.5,GetHmCsisRTAnwhuBEMa9Q==,game 3,ru,false,16
YC2fZQTQXV2UR1/WHDrVqw==,game 3,2022-11-06,17.4,YC2fZQTQXV2UR1/WHDrVqw==,game 3,uk,false,14
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-12-17,13.5,e/6IajqZ922YY1rh2ErMJQ==,game 3,en,false,25
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-05-23,15.81,dpfu6t8G4blqMn55KM8bSg==,game 3,uk,false,16
BOcGlFXXESDUbttxDzQIQw==,game 3,2022-08-29,17.49,BOcGlFXXESDUbttxDzQIQw==,game 3,uk,false,32
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-05-14,14.64,QZBiEFECZAgVl5IkN9/cFw==,game 3,en,false,16
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-09-23,14.7,orbgZNBGuhZZx63HTAbyIw==,game 3,uk,false,25
"4oH5e29koOH9zNYW8Kwcsg==",game 3,2022-07-06,18.06,"4oH5e29koOH9zNYW8Kwcsg==",game 3,uk,false,28
