"user_id","game_name","payment_month","revenue_amount_usd","language","has_older_device_model","age","engagement_month","churn_month","last_month","type_payment","lt"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-05-01 00:00:00+00","14.43","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-07-01 00:00:00+00","25.23","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-06-01 00:00:00+00","14.91","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-11-01 00:00:00+00","14.04","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-06-01 00:00:00+00","14.16","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-05-01 00:00:00+00","13.89","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-09-01 00:00:00+00","28.17","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-10-01 00:00:00+00","25.74","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-04-01 00:00:00+00","12.03","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-09-01 00:00:00+00","20.55","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-11-01 00:00:00+00","13.47","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-11-01 00:00:00+00","12.27","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","7"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-08-01 00:00:00+00","18.9","ru","",34,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-08-01 00:00:00+00","13.17","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-07-01 00:00:00+00","14.1","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-06-01 00:00:00+00","17.04","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-08-01 00:00:00+00","14.13","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-06-01 00:00:00+00","14.94","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-10-01 00:00:00+00","19.29","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","12.15","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-05-01 00:00:00+00","13.8","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-10-01 00:00:00+00","16.44","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","15.27","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-07-01 00:00:00+00","15.96","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","23.97","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-08-01 00:00:00+00","13.53","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-07-01 00:00:00+00","22.71","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","21.54","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-06-01 00:00:00+00","16.23","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-09-01 00:00:00+00","35.49","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-10-01 00:00:00+00","13.23","uk","",25,"2022-09-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","churn","1"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-09-01 00:00:00+00","17.58","uk","",25,"2022-09-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","new","1"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-09-01 00:00:00+00","14.7","uk","",25,"2022-09-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","new","1"
"0dJXy70SFjxVR6YgOPZzMQ==","game 3","2022-11-01 00:00:00+00","17.19","uk","",27,"2022-11-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","0"
"14RMzQMoG017OLkaDBFjng==","game 3","2022-11-01 00:00:00+00","12.75","uk","",36,"2022-07-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","4"
