"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","churn_month","last_month","user_status","lifetime_in_month"
"B4b6v6eUHvAVOeAQk6EEiw==","game 3","2022-12-01 00:00:00+00","20.64","ru","",23,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-09-01 00:00:00+00","50.61","uk","",20,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"MSxDpyVU8A+9Wgmnb8b1IQ==","game 3","2022-09-01 00:00:00+00","27.54","uk","",14,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"pLOCMIX+imLIzoDehgdOPA==","game 3","2022-05-01 00:00:00+00","68.16","uk","",22,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","8"
"er3/fOrRpmyqiRaC0CaFcg==","game 3","2022-05-01 00:00:00+00","47.22","uk","",21,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","8"
"BTD3ZjLKfkT6ZRBT9zRwtg==","game 3","2022-11-01 00:00:00+00","49.92","uk",1,14,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"zeu++qOqokuGcT0ghN97bQ==","game 3","2022-08-01 00:00:00+00","59.34","ru","",34,"2022-08-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","new","3"
"Fqu+/F0rn1G4YP3f3yHA1Q==","game 3","2022-07-01 00:00:00+00","36.66","uk","",21,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","9"
"orbgZNBGuhZZx63HTAbyIw==","game 3","2022-04-01 00:00:00+00","62.13","uk","",25,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","new","7"
"Ghk2iJmzSUW4qLsmJgwOcw==","game 3","2022-06-01 00:00:00+00","82.80","uk","",16,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"UIYPIs8zzm4uX6+FZvTqNw==","game 3","2022-10-01 00:00:00+00","14.4","ru","",19,"2022-10-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","1"
"Lug+Yg90jslWgHEN6dc+Ng==","game 3","2022-12-01 00:00:00+00","33.09","uk","",21,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","9"
"bZDMuXKM3RFajmZa/yIpsw==","game 3","2022-09-01 00:00:00+00","14.55","uk","",23,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","4"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-03-01 00:00:00+00","34.74","ru","",22,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","10"
"gPRMy8HkmaiyX+13OxuP/A==","game 3","2022-05-01 00:00:00+00","22.17","ru","",21,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"GOl6BQXsy0zvbvIWIoKEQw==","game 3","2022-07-01 00:00:00+00","114.75","ru","",18,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"lx3SsUV7NOrv93tCexVp5A==","game 3","2022-09-01 00:00:00+00","23.85","uk","",16,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"DqezK7HAqZ+GovyRuzxD1A==","game 3","2022-07-01 00:00:00+00","120.51","uk","",23,"2022-04-01 00:00:00+00","2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","churn","4"
"qEF/fPDQLJPXIx6RiSIP1A==","game 3","2022-12-01 00:00:00+00","28.32","uk","",20,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"dVTYjVpXbOM/sOgCq4CV0g==","game 3","2022-09-01 00:00:00+00","127.20","uk","",25,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"prNQwR2IPPsvGpFgOpcGaQ==","game 3","2022-05-01 00:00:00+00","95.52","uk","",14,"2022-03-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"3TfpxDVNF0T+g4S60EOCBw==","game 3","2022-11-01 00:00:00+00","15.27","uk","",28,"2022-11-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","1"
"qmZRB16NnnCdNHWUcSyVDQ==","game 3","2022-07-01 00:00:00+00","86.91","ru","",37,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-09-01 00:00:00+00","14.04","ru","",18,"2022-09-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new","3"
"qmZRB16NnnCdNHWUcSyVDQ==","game 3","2022-06-01 00:00:00+00","52.83","ru","",37,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","7"
"orbgZNBGuhZZx63HTAbyIw==","game 3","2022-07-01 00:00:00+00","69.15","uk","",25,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"MAkig8NeMsTs73r6K0uDpA==","game 3","2022-10-01 00:00:00+00","48.27","uk","",20,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"kGxMA4SONgR8wL4JeeX8PQ==","game 3","2022-12-01 00:00:00+00","32.37","uk","",23,"2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","1"
"juwM8fLyplCQTgKTP8dJgQ==","game 3","2022-11-01 00:00:00+00","16.44","ru","",34,"2022-07-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","5"
"eoqO46DzxSrKA2rredUNyQ==","game 3","2022-09-01 00:00:00+00","13.89","uk","",24,"2022-06-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"PzG6g7FMYUPp0RMvXhfesQ==","game 3","2022-10-01 00:00:00+00","19.23","uk","",34,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"b3TBQFxyCxxypmPajF+jXw==","game 3","2022-03-01 00:00:00+00","13.98","uk",1,15,"2022-03-01 00:00:00+00","2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","new","4"
"7ew71UmoMb73L41PM/YL/w==","game 3","2022-11-01 00:00:00+00","29.76","uk","",17,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","7"
"cp2QvW7HEEyNYKZRQ+RvyA==","game 3","2022-12-01 00:00:00+00","38.10","uk","",14,"2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","1"
"MSxDpyVU8A+9Wgmnb8b1IQ==","game 3","2022-12-01 00:00:00+00","32.22","uk","",14,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"W6fRYNhsTNHQkvkoFEUaVQ==","game 3","2022-09-01 00:00:00+00","43.5","uk","",16,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"hi1ErLiMLDP0HWvMqLKv6g==","game 3","2022-12-01 00:00:00+00","82.41","ru","",18,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"K/6KHxREKTlFZXRfBNVNuQ==","game 3","2022-09-01 00:00:00+00","31.53","ru","",19,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"cOCixiBbcAHemYgbNdoTcw==","game 3","2022-07-01 00:00:00+00","68.04","uk","",20,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","6"
"F03P4YcFbbtcWUlujjIQmQ==","game 3","2022-12-01 00:00:00+00","47.13","ru",1,20,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"ZmjMhgyYl6o8iFq964FEWg==","game 3","2022-03-01 00:00:00+00","54.60","ru","",17,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","10"
"e/6IajqZ922YY1rh2ErMJQ==","game 3","2022-12-01 00:00:00+00","119.94","en","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"FfphIhReAA2romBynjqxqw==","game 3","2022-09-01 00:00:00+00","70.80","uk","",19,"2022-09-01 00:00:00+00","2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","1"
"ICBVvRc9TR+qF7IoBfEWsQ==","game 3","2022-08-01 00:00:00+00","44.37","uk",1,18,"2022-08-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new","4"
"3Xuq0acIoGEgw19qflIoog==","game 3","2022-10-01 00:00:00+00","30.9","uk","",25,"2022-06-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","churn","5"
"Vn7Z6/B2x4f/w8R6xVfw5w==","game 3","2022-12-01 00:00:00+00","39.39","uk","",18,"2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"BJlqmsfEshc/QjsD7VgEjg==","game 3","2022-04-01 00:00:00+00","30.66","ru","",18,"2022-04-01 00:00:00+00","2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","new","6"
"xVwGwMaEG1yZydv5VIfEQA==","game 3","2022-12-01 00:00:00+00","51.45","uk","",22,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"PydH3c1l9bUvwz7hsiaBOg==","game 3","2022-08-01 00:00:00+00","32.55","uk","",17,"2022-08-01 00:00:00+00","2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","new","2"
"L3waZ4UDUTOCMfVcL29lGQ==","game 3","2022-12-01 00:00:00+00","45.06","en","",29,"2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","new","1"
"BTD3ZjLKfkT6ZRBT9zRwtg==","game 3","2022-07-01 00:00:00+00","12.9","uk",1,14,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"VTaIkhD9hJKcnvA6Kw5p9g==","game 3","2022-11-01 00:00:00+00","161.94","ru","",25,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"Uen3Ap0lnrgWVWJtFCSo7g==","game 3","2022-06-01 00:00:00+00","55.23","ru","",17,"2022-03-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"FLqAK4qKiMkvlLBgGwbBnQ==","game 3","2022-09-01 00:00:00+00","44.70","ru","",31,"2022-05-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"iFFApiXZ2wPdS666BLpKZw==","game 3","2022-06-01 00:00:00+00","34.89","uk","",18,"2022-03-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"WSQTlRZJRg4Rb+rqe56nJg==","game 3","2022-09-01 00:00:00+00","30.51","uk","",26,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"zSepnWFgLH0tQb1s4mxKZQ==","game 3","2022-11-01 00:00:00+00","20.28","uk","",24,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"GEAVJz1gd3SThbDZR01fcA==","game 3","2022-07-01 00:00:00+00","75.36","uk","",14,"2022-04-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"lCD23Awt3KotauWenCRr5w==","game 3","2022-07-01 00:00:00+00","22.98","uk","",20,"2022-04-01 00:00:00+00","2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","churn","4"
"bBOj8UKjraXzMIPrGBdCrQ==","game 3","2022-11-01 00:00:00+00","15.69","uk","",28,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"787jk0VnxM8/sv/0TkvO6A==","game 3","2022-04-01 00:00:00+00","53.49","uk","",20,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-06-01 00:00:00+00","28.95","uk","",19,"2022-05-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"7YaJfLI3RPGUEN2esrQxsQ==","game 3","2022-12-01 00:00:00+00","26.67","ru","",15,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
