"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","mod_churn_month","lifetime_in_month"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-11-01","39.78","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-10-01","25.74","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-05-01","28.32","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-06-01","29.07","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-08-01","18.9","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-07-01","25.23","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-04-01","12.03","ru","",34,"2022-04-01","2022-12-01","8"
"06RPvlsFPCmM9ag+iSM/Ag==","game 3","2022-09-01","48.72","ru","",34,"2022-04-01","2022-12-01","8"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-09-01","35.49","uk","",31,"2022-05-01","2022-12-01","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-07-01","52.77","uk","",31,"2022-05-01","2022-12-01","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-08-01","40.83","uk","",31,"2022-05-01","2022-12-01","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-05-01","13.8","uk","",31,"2022-05-01","2022-12-01","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01","72.93","uk","",31,"2022-05-01","2022-12-01","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-06-01","48.21","uk","",31,"2022-05-01","2022-12-01","7"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-10-01","35.73","uk","",31,"2022-05-01","2022-12-01","7"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-10-01","13.23","uk","",25,"2022-09-01","2022-11-01","2"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-09-01","32.28","uk","",25,"2022-09-01","2022-11-01","2"
"0dJXy70SFjxVR6YgOPZzMQ==","game 3","2022-11-01","17.19","uk","",27,"2022-11-01","2022-12-01","1"
"14RMzQMoG017OLkaDBFjng==","game 3","2022-07-01","14.43","uk","",36,"2022-07-01","2022-12-01","5"
"14RMzQMoG017OLkaDBFjng==","game 3","2022-11-01","12.75","uk","",36,"2022-07-01","2022-12-01","5"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-08-01","89.04","ru","",23,"2022-08-01","2022-12-01","4"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-09-01","34.8","ru","",23,"2022-08-01","2022-12-01","4"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-11-01","148.14","ru","",23,"2022-08-01","2022-12-01","4"
"1BBMagZRq/39AV1l2rm4Iw==","game 3","2022-10-01","55.80","ru","",23,"2022-08-01","2022-12-01","4"
"1dvc3uv3gFy83YY5oJeFkQ==","game 3","2022-08-01","45.93","uk","",17,"2022-08-01","2022-09-01","1"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-11-01","20.13","ru","",25,"2022-06-01","","-5"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-09-01","13.71","ru","",25,"2022-06-01","","-5"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-07-01","16.29","ru","",25,"2022-06-01","","-5"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-08-01","21.18","ru","",25,"2022-06-01","","-5"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-12-01","38.37","ru","",25,"2022-06-01","","-5"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-10-01","46.98","ru","",25,"2022-06-01","","-5"
"1jx1AjqUwE9sbCyafQnUNQ==","game 3","2022-06-01","56.13","ru","",25,"2022-06-01","","-5"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-10-01","77.19","uk","",22,"2022-09-01","","-8"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-11-01","63.27","uk","",22,"2022-09-01","","-8"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-12-01","21.72","uk","",22,"2022-09-01","","-8"
"1KzlDBp5hORL7Y5PBaB+0g==","game 3","2022-09-01","58.20","uk","",22,"2022-09-01","","-8"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-09-01","33.36","uk","",20,"2022-09-01","","-8"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-12-01","69.48","uk","",20,"2022-09-01","","-8"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-10-01","29.25","uk","",20,"2022-09-01","","-8"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-11-01","18.15","uk","",20,"2022-09-01","","-8"
"29qvbD06oXdmg5G7X/Wigw==","game 3","2022-12-01","24.51","uk","",17,"2022-12-01","","-11"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-12-01","69.96","ru","",25,"2022-10-01","","-9"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-10-01","27.0","ru","",25,"2022-10-01","","-9"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-10-01","42.84","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-05-01","30.33","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-08-01","14.19","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-07-01","24.84","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-11-01","29.13","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-12-01","14.13","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-06-01","22.47","ru","",20,"2022-04-01","","-3"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-04-01","56.85","ru","",20,"2022-04-01","","-3"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-09-01","14.04","ru","",18,"2022-09-01","2022-12-01","3"
