"user_id","payment_month","engagement_month","churn_month","revenue","new_user_revenue","expansion_revenue","contraction_revenue","churn_revenue","revenue_changes","revenue_change_factors","game_name","language","has_older_device_model","age","lifetime_in_month"
"06RPvlsFPCmM9ag+iSM/Ag==","2022-04-01","2022-04-01","2022-12-01","12.03","12.03","","","","12.03","new user revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-05-01","2022-04-01","2022-12-01","28.32","","16.29","","","16.29","expansion revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-06-01","2022-04-01","2022-12-01","29.07","","0.75","","","0.75","expansion revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-07-01","2022-04-01","2022-12-01","25.23","","","-3.84","","-3.84","contraction revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-08-01","2022-04-01","2022-12-01","18.9","","","-6.33","","-6.33","contraction revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-09-01","2022-04-01","2022-12-01","48.72","","29.82","","","29.82","expansion revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-10-01","2022-04-01","2022-12-01","25.74","","","-22.98","","-22.98","contraction revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-11-01","2022-04-01","2022-12-01","39.78","","14.04","","","14.04","expansion revenue","game 3","ru","",34,8
"06RPvlsFPCmM9ag+iSM/Ag==","2022-12-01","2022-04-01","2022-12-01","0","","","","-39.78","-39.78","churn revenue","game 3","ru","",34,8
"0A5RkQrm+GBgG7KSFk/xhw==","2022-05-01","2022-05-01","2022-12-01","13.8","13.8","","","","13.8","new user revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-06-01","2022-05-01","2022-12-01","48.21","","34.41","","","34.41","expansion revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-07-01","2022-05-01","2022-12-01","52.77","","4.56","","","4.56","expansion revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-08-01","2022-05-01","2022-12-01","40.83","","","-11.94","","-11.94","contraction revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-09-01","2022-05-01","2022-12-01","35.49","","","-5.34","","-5.34","contraction revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-10-01","2022-05-01","2022-12-01","35.73","","0.24","","","0.24","expansion revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-11-01","2022-05-01","2022-12-01","72.93","","37.20","","","37.20","expansion revenue","game 3","uk","",31,7
"0A5RkQrm+GBgG7KSFk/xhw==","2022-12-01","2022-05-01","2022-12-01","0","","","","-72.93","-72.93","churn revenue","game 3","uk","",31,7
"0afix9qVNfU3GJY1n0QGkw==","2022-09-01","2022-09-01","2022-11-01","32.28","32.28","","","","32.28","new user revenue","game 3","uk","",25,2
"0afix9qVNfU3GJY1n0QGkw==","2022-10-01","2022-09-01","2022-11-01","13.23","","","-19.05","","-19.05","contraction revenue","game 3","uk","",25,2
"0afix9qVNfU3GJY1n0QGkw==","2022-11-01","2022-09-01","2022-11-01","0","","","","-13.23","-13.23","churn revenue","game 3","uk","",25,2
"0dJXy70SFjxVR6YgOPZzMQ==","2022-11-01","2022-11-01","2022-12-01","17.19","17.19","","","","17.19","new user revenue","game 3","uk","",27,1
"0dJXy70SFjxVR6YgOPZzMQ==","2022-12-01","2022-11-01","2022-12-01","0","","","","-17.19","-17.19","churn revenue","game 3","uk","",27,1
"14RMzQMoG017OLkaDBFjng==","2022-07-01","2022-07-01","2022-12-01","14.43","14.43","","","","14.43","new user revenue","game 3","uk","",36,5
"14RMzQMoG017OLkaDBFjng==","2022-11-01","2022-07-01","2022-12-01","12.75","","","-1.68","","-1.68","contraction revenue","game 3","uk","",36,5
"14RMzQMoG017OLkaDBFjng==","2022-12-01","2022-07-01","2022-12-01","0","","","","-12.75","-12.75","churn revenue","game 3","uk","",36,5
"1BBMagZRq/39AV1l2rm4Iw==","2022-08-01","2022-08-01","2022-12-01","89.04","89.04","","","","89.04","new user revenue","game 3","ru","",23,4
"1BBMagZRq/39AV1l2rm4Iw==","2022-09-01","2022-08-01","2022-12-01","34.8","","","-54.24","","-54.24","contraction revenue","game 3","ru","",23,4
"1BBMagZRq/39AV1l2rm4Iw==","2022-10-01","2022-08-01","2022-12-01","55.80","","21.00","","","21.00","expansion revenue","game 3","ru","",23,4
"1BBMagZRq/39AV1l2rm4Iw==","2022-11-01","2022-08-01","2022-12-01","148.14","","92.34","","","92.34","expansion revenue","game 3","ru","",23,4
"1BBMagZRq/39AV1l2rm4Iw==","2022-12-01","2022-08-01","2022-12-01","0","","","","-148.14","-148.14","churn revenue","game 3","ru","",23,4
"1dvc3uv3gFy83YY5oJeFkQ==","2022-08-01","2022-08-01","2022-09-01","45.93","45.93","","","","45.93","new user revenue","game 3","uk","",17,1
"1dvc3uv3gFy83YY5oJeFkQ==","2022-09-01","2022-08-01","2022-09-01","0","","","","-45.93","-45.93","churn revenue","game 3","uk","",17,1
"1jx1AjqUwE9sbCyafQnUNQ==","2022-06-01","2022-06-01","","56.13","56.13","","","","56.13","new user revenue","game 3","ru","",25,7
"1jx1AjqUwE9sbCyafQnUNQ==","2022-07-01","2022-06-01","","16.29","","","-39.84","","-39.84","contraction revenue","game 3","ru","",25,7
"1jx1AjqUwE9sbCyafQnUNQ==","2022-08-01","2022-06-01","","21.18","","4.89","","","4.89","expansion revenue","game 3","ru","",25,7
"1jx1AjqUwE9sbCyafQnUNQ==","2022-09-01","2022-06-01","","13.71","","","-7.47","","-7.47","contraction revenue","game 3","ru","",25,7
"1jx1AjqUwE9sbCyafQnUNQ==","2022-10-01","2022-06-01","","46.98","","33.27","","","33.27","expansion revenue","game 3","ru","",25,7
"1jx1AjqUwE9sbCyafQnUNQ==","2022-11-01","2022-06-01","","20.13","","","-26.85","","-26.85","contraction revenue","game 3","ru","",25,7
"1jx1AjqUwE9sbCyafQnUNQ==","2022-12-01","2022-06-01","","38.37","","18.24","","","18.24","expansion revenue","game 3","ru","",25,7
"1KzlDBp5hORL7Y5PBaB+0g==","2022-09-01","2022-09-01","","58.20","58.20","","","","58.20","new user revenue","game 3","uk","",22,4
"1KzlDBp5hORL7Y5PBaB+0g==","2022-10-01","2022-09-01","","77.19","","18.99","","","18.99","expansion revenue","game 3","uk","",22,4
"1KzlDBp5hORL7Y5PBaB+0g==","2022-11-01","2022-09-01","","63.27","","","-13.92","","-13.92","contraction revenue","game 3","uk","",22,4
"1KzlDBp5hORL7Y5PBaB+0g==","2022-12-01","2022-09-01","","21.72","","","-41.55","","-41.55","contraction revenue","game 3","uk","",22,4
"1tIsLi6U0zW1RIuaViNanA==","2022-09-01","2022-09-01","","33.36","33.36","","","","33.36","new user revenue","game 3","uk","",20,4
"1tIsLi6U0zW1RIuaViNanA==","2022-10-01","2022-09-01","","29.25","","","-4.11","","-4.11","contraction revenue","game 3","uk","",20,4
"1tIsLi6U0zW1RIuaViNanA==","2022-11-01","2022-09-01","","18.15","","","-11.10","","-11.10","contraction revenue","game 3","uk","",20,4
"1tIsLi6U0zW1RIuaViNanA==","2022-12-01","2022-09-01","","69.48","","51.33","","","51.33","expansion revenue","game 3","uk","",20,4
"29qvbD06oXdmg5G7X/Wigw==","2022-12-01","2022-12-01","","24.51","24.51","","","","24.51","new user revenue","game 3","uk","",17,1
"2be8IOVjt9pzDDEVqZwIKQ==","2022-10-01","2022-10-01","","27.0","27.0","","","","27.0","new user revenue","game 3","ru","",25,3
"2be8IOVjt9pzDDEVqZwIKQ==","2022-12-01","2022-10-01","","69.96","","42.96","","","42.96","expansion revenue","game 3","ru","",25,3
"2FYEYdoJMUOtbJ6TruruWA==","2022-04-01","2022-04-01","","56.85","56.85","","","","56.85","new user revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-05-01","2022-04-01","","30.33","","","-26.52","","-26.52","contraction revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-06-01","2022-04-01","","22.47","","","-7.86","","-7.86","contraction revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-07-01","2022-04-01","","24.84","","2.37","","","2.37","expansion revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-08-01","2022-04-01","","14.19","","","-10.65","","-10.65","contraction revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-10-01","2022-04-01","","42.84","","28.65","","","28.65","expansion revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-11-01","2022-04-01","","29.13","","","-13.71","","-13.71","contraction revenue","game 3","ru","",20,9
"2FYEYdoJMUOtbJ6TruruWA==","2022-12-01","2022-04-01","","14.13","","","-15.00","","-15.00","contraction revenue","game 3","ru","",20,9
"2KL9Q4TKLCcD4cngwhx6Dg==","2022-09-01","2022-09-01","2022-12-01","14.04","14.04","","","","14.04","new user revenue","game 3","ru","",18,3
"2KL9Q4TKLCcD4cngwhx6Dg==","2022-10-01","2022-09-01","2022-12-01","56.04","","42.00","","","42.00","expansion revenue","game 3","ru","",18,3
"2KL9Q4TKLCcD4cngwhx6Dg==","2022-11-01","2022-09-01","2022-12-01","24.84","","","-31.20","","-31.20","contraction revenue","game 3","ru","",18,3
"2KL9Q4TKLCcD4cngwhx6Dg==","2022-12-01","2022-09-01","2022-12-01","0","","","","-24.84","-24.84","churn revenue","game 3","ru","",18,3
"2onLVyXEEj2aH+D4N9ldYQ==","2022-08-01","2022-08-01","","50.04","50.04","","","","50.04","new user revenue","game 3","uk","",16,5
"2onLVyXEEj2aH+D4N9ldYQ==","2022-10-01","2022-08-01","","42.72","","","-7.32","","-7.32","contraction revenue","game 3","uk","",16,5
"2onLVyXEEj2aH+D4N9ldYQ==","2022-11-01","2022-08-01","","22.68","","","-20.04","","-20.04","contraction revenue","game 3","uk","",16,5
"2onLVyXEEj2aH+D4N9ldYQ==","2022-12-01","2022-08-01","","106.38","","83.70","","","83.70","expansion revenue","game 3","uk","",16,5
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-04-01","2022-04-01","2022-12-01","54.96","54.96","","","","54.96","new user revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-05-01","2022-04-01","2022-12-01","72.06","","17.10","","","17.10","expansion revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-06-01","2022-04-01","2022-12-01","25.35","","","-46.71","","-46.71","contraction revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-07-01","2022-04-01","2022-12-01","38.10","","12.75","","","12.75","expansion revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-09-01","2022-04-01","2022-12-01","12.12","","","-25.98","","-25.98","contraction revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-10-01","2022-04-01","2022-12-01","21.87","","9.75","","","9.75","expansion revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-11-01","2022-04-01","2022-12-01","15.99","","","-5.88","","-5.88","contraction revenue","game 3","uk","",23,8
"2Tm77AxZ7h7oCNKgCgMpnQ==","2022-12-01","2022-04-01","2022-12-01","0","","","","-15.99","-15.99","churn revenue","game 3","uk","",23,8
"3iITAz/ADjFv3PDTgTjxSg==","2022-03-01","2022-03-01","2022-10-01","23.76","23.76","","","","23.76","new user revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-04-01","2022-03-01","2022-10-01","81.42","","57.66","","","57.66","expansion revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-05-01","2022-03-01","2022-10-01","15.69","","","-65.73","","-65.73","contraction revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-06-01","2022-03-01","2022-10-01","34.35","","18.66","","","18.66","expansion revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-07-01","2022-03-01","2022-10-01","50.58","","16.23","","","16.23","expansion revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-08-01","2022-03-01","2022-10-01","97.08","","46.50","","","46.50","expansion revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-09-01","2022-03-01","2022-10-01","18.72","","","-78.36","","-78.36","contraction revenue","game 3","ru","",16,7
"3iITAz/ADjFv3PDTgTjxSg==","2022-10-01","2022-03-01","2022-10-01","0","","","","-18.72","-18.72","churn revenue","game 3","ru","",16,7
"3KHhqZr7/1n2+bTP13WuXA==","2022-06-01","2022-06-01","2022-11-01","74.85","74.85","","","","74.85","new user revenue","game 3","uk","",16,5
